Date,Team,Opponent,Team Score,Opponent Score,Location,Team Margin,Team Result,Team Location
2/21/2013,Penn St,Illinois,59,64,Illinois,-5,Loss,Away
2/21/2013,Ga Southern,Wofford,47,53,Ga Southern,-6,Loss,Home
2/21/2013,F Dickinson,St Francis PA,63,69,St Francis PA,-6,Loss,Away
2/21/2013,Cincinnati,Connecticut,66,73,Connecticut,-7,Loss,Away
2/21/2013,Sacred Heart,Quinnipiac,74,81,Sacred Heart,-7,Loss,Home
2/21/2013,BYU,St Mary's CA,57,64,St Mary's CA,-7,Loss,Away
2/21/2013,La Salle,Temple,74,82,Temple,-8,Loss,Away
2/21/2013,FL Atlantic,North Texas,57,66,North Texas,-9,Loss,Away
2/21/2013,Kennesaw,N Kentucky,54,64,Kennesaw,-10,Loss,Home
2/21/2013,Troy,ULL,66,76,ULL,-10,Loss,Away
2/21/2013,Utah,Colorado,50,60,Colorado,-10,Loss,Away
2/21/2013,Oregon St,Stanford,72,82,Oregon St,-10,Loss,Home
2/21/2013,Long Island,Mt St Mary's,71,83,Mt St Mary's,-12,Loss,Away
2/21/2013,Monmouth NJ,Robert Morris,65,77,Robert Morris,-12,Loss,Away
2/21/2013,ETSU,North Florida,64,77,North Florida,-13,Loss,Away
2/21/2013,Ark Little Rock,Florida Intl,52,65,Florida Intl,-13,Loss,Away
2/21/2013,TN Martin,Tennessee Tech,68,83,Tennessee Tech,-15,Loss,Away
2/21/2013,ULM,W Kentucky,57,75,W Kentucky,-18,Loss,Away
2/21/2013,Central Conn,Bryant,67,88,Bryant,-21,Loss,Away
2/21/2013,VMI,Charleston So,69,92,Charleston So,-23,Loss,Away
2/21/2013,Lipscomb,Mercer,58,83,Mercer,-25,Loss,Away
2/21/2013,Chattanooga,UNC Greensboro,68,94,Chattanooga,-26,Loss,Home
2/21/2013,New Orleans,Bowling Green,56,87,Bowling Green,-31,Loss,Away
2/21/2013,Virginia Tech,Duke,56,88,Virginia Tech,-32,Loss,Home
2/21/2013,South Alabama,Middle Tenn St,50,85,Middle Tenn St,-35,Loss,Away
2/22/2013,Princeton,Columbia,65,40,Columbia,25,Win,Away
2/22/2013,Harvard,Brown,65,47,Brown,18,Win,Away
2/22/2013,Akron,N Dakota St,68,53,Akron,15,Win,Home
2/22/2013,Yale,Dartmouth,78,67,Yale,11,Win,Home
2/22/2013,Stetson,FL Gulf Coast,80,71,Stetson,9,Win,Home
2/22/2013,Penn,Cornell,79,71,Cornell,8,Win,Away
2/22/2013,SF Austin,Long Beach St,68,60,Long Beach St,8,Win,Away
2/22/2013,St Louis,Butler,65,61,Butler,4,Win,Away
2/22/2013,Butler,St Louis,61,65,Butler,-4,Loss,Home
2/22/2013,Cornell,Penn,71,79,Cornell,-8,Loss,Home
2/22/2013,Long Beach St,SF Austin,60,68,Long Beach St,-8,Loss,Home
2/22/2013,FL Gulf Coast,Stetson,71,80,Stetson,-9,Loss,Away
2/22/2013,Dartmouth,Yale,67,78,Yale,-11,Loss,Away
2/22/2013,N Dakota St,Akron,53,68,Akron,-15,Loss,Away
2/22/2013,Brown,Harvard,47,65,Brown,-18,Loss,Home
2/22/2013,Columbia,Princeton,40,65,Columbia,-25,Loss,Home
2/23/2013,Robert Morris,F Dickinson,89,46,Robert Morris,43,Win,Home
2/23/2013,Middle Tenn St,ULM,87,46,Middle Tenn St,41,Win,Home
2/23/2013,Vanderbilt,Mississippi St,72,31,Mississippi St,41,Win,Away
2/23/2013,Marist,VMI,112,74,Marist,38,Win,Home
2/23/2013,Hawaii,Northern Arizona,84,50,Hawaii,34,Win,Home
2/23/2013,Mississippi,Auburn,88,55,Mississippi,33,Win,Home
2/23/2013,Gonzaga,San Diego,81,50,Gonzaga,31,Win,Home
2/23/2013,Kansas,TCU,74,48,Kansas,26,Win,Home
2/23/2013,Tulane,Rice,89,64,Rice,25,Win,Away
2/23/2013,North Florida,SC Upstate,77,53,North Florida,24,Win,Home
2/23/2013,UNLV,Wyoming,65,42,Wyoming,23,Win,Away
2/23/2013,Valparaiso,E Kentucky,82,60,Valparaiso,22,Win,Home
2/23/2013,Iowa St,Texas Tech,86,66,Iowa St,20,Win,Home
2/23/2013,NJIT,New Orleans,84,64,NJIT,20,Win,Home
2/23/2013,Jackson St,MS Valley St,90,71,MS Valley St,19,Win,Away
2/23/2013,Princeton,Cornell,72,53,Cornell,19,Win,Away
2/23/2013,Belmont,Ohio,81,62,Belmont,19,Win,Home
2/23/2013,Louisville,Seton Hall,79,61,Louisville,18,Win,Home
2/23/2013,UT San Antonio,Nicholls St,76,58,UT San Antonio,18,Win,Home
2/23/2013,Richmond,Fordham,72,55,Fordham,17,Win,Away
2/23/2013,Ga Southern,Furman,78,61,Ga Southern,17,Win,Home
2/23/2013,Arizona,Washington St,73,56,Arizona,17,Win,Home
2/23/2013,Mercer,N Kentucky,63,46,Mercer,17,Win,Home
2/23/2013,Florida,Arkansas,71,54,Florida,17,Win,Home
2/23/2013,Columbia,Penn,58,41,Columbia,17,Win,Home
2/23/2013,Drake,WI Green Bay,71,54,Drake,17,Win,Home
2/23/2013,Stony Brook,Maine,69,53,Maine,16,Win,Away
2/23/2013,Memphis,Southern Miss,89,73,Memphis,16,Win,Home
2/23/2013,Oklahoma St,West Virginia,73,57,West Virginia,16,Win,Away
2/23/2013,Ark Pine Bluff,Grambling,61,45,Ark Pine Bluff,16,Win,Home
2/23/2013,Niagara,Northwestern LA,92,76,Niagara,16,Win,Home
2/23/2013,Wake Forest,Miami FL,80,65,Wake Forest,15,Win,Home
2/23/2013,Lipscomb,Kennesaw,70,55,Kennesaw,15,Win,Away
2/23/2013,Wichita St,Detroit,94,79,Wichita St,15,Win,Home
2/23/2013,Army,American Univ,72,58,American Univ,14,Win,Away
2/23/2013,Oklahoma,Baylor,90,76,Oklahoma,14,Win,Home
2/23/2013,FL Atlantic,Ark Little Rock,73,59,FL Atlantic,14,Win,Home
2/23/2013,Winthrop,SE Louisiana,66,52,Winthrop,14,Win,Home
2/23/2013,Maryland,Clemson,72,59,Maryland,13,Win,Home
2/23/2013,Colgate,Navy,59,46,Colgate,13,Win,Home
2/23/2013,Southern Univ,Alcorn St,61,48,Southern Univ,13,Win,Home
2/23/2013,San Diego St,Nevada,88,75,San Diego St,13,Win,Home
2/23/2013,Toledo,McNeese St,79,66,Toledo,13,Win,Home
2/23/2013,IPFW,Bowling Green,88,75,IPFW,13,Win,Home
2/23/2013,Texas St,Lamar,74,61,Lamar,13,Win,Away
2/23/2013,St Joseph's PA,G Washington,71,59,St Joseph's PA,12,Win,Home
2/23/2013,Santa Clara,Portland,75,63,Portland,12,Win,Away
2/23/2013,South Alabama,North Texas,69,57,South Alabama,12,Win,Home
2/23/2013,Connecticut,DePaul,81,69,DePaul,12,Win,Away
2/23/2013,Kansas St,Texas,81,69,Texas,12,Win,Away
2/23/2013,Evansville,Wright St,70,58,Wright St,12,Win,Away
2/23/2013,E Illinois,N Illinois,59,47,N Illinois,12,Win,Away
2/23/2013,Quinnipiac,Bryant,69,58,Quinnipiac,11,Win,Home
2/23/2013,Georgetown,Syracuse,57,46,Syracuse,11,Win,Away
2/23/2013,North Carolina,NC State,76,65,North Carolina,11,Win,Home
2/23/2013,Hofstra,Old Dominion,70,59,Hofstra,11,Win,Home
2/23/2013,Oregon,Stanford,77,66,Oregon,11,Win,Home
2/23/2013,W Kentucky,ULL,88,77,ULL,11,Win,Away
2/23/2013,Youngstown St,C Michigan,86,75,Youngstown St,11,Win,Home
2/23/2013,Murray St,S Dakota St,73,62,Murray St,11,Win,Home
2/23/2013,Massachusetts,Dayton,76,66,Massachusetts,10,Win,Home
2/23/2013,Houston Bap,Utah Valley,73,63,Houston Bap,10,Win,Home
2/23/2013,Bethune-Cookman,S Carolina St,85,75,Bethune-Cookman,10,Win,Home
2/23/2013,TN Martin,Longwood,89,79,TN Martin,10,Win,Home
2/23/2013,W Carolina,Coastal Car,80,70,W Carolina,10,Win,Home
2/23/2013,Boston Univ,MD Baltimore Co,68,59,MD Baltimore Co,9,Win,Away
2/23/2013,Boise St,Fresno St,72,63,Fresno St,9,Win,Away
2/23/2013,New Mexico,Colorado St,91,82,Colorado St,9,Win,Away
2/23/2013,Prairie View,Alabama St,65,56,Alabama St,9,Win,Away
2/23/2013,Brown,Dartmouth,59,50,Brown,9,Win,Home
2/23/2013,Washington,Arizona St,68,59,Arizona St,9,Win,Away
2/23/2013,Utah St,Illinois St,80,71,Utah St,9,Win,Home
2/23/2013,UCF,Tulsa,83,75,UCF,8,Win,Home
2/23/2013,Georgia,South Carolina,62,54,Georgia,8,Win,Home
2/23/2013,Lafayette,Lehigh,79,71,Lafayette,8,Win,Home
2/23/2013,Mt St Mary's,St Francis NY,73,65,Mt St Mary's,8,Win,Home
2/23/2013,Central Conn,Sacred Heart,80,72,Sacred Heart,8,Win,Away
2/23/2013,Tennessee,Texas A&M,93,85,Texas A&M,8,Win,Away
2/23/2013,Arkansas St,Troy,58,50,Arkansas St,8,Win,Home
2/23/2013,Albany NY,Fairfield,58,50,Fairfield,8,Win,Away
2/23/2013,Vermont,Canisius,87,79,Vermont,8,Win,Home
2/23/2013,NE Omaha,North Dakota,83,75,NE Omaha,8,Win,Home
2/23/2013,Portland St,UC Riverside,66,58,Portland St,8,Win,Home
2/23/2013,St Mary's CA,Creighton,74,66,St Mary's CA,8,Win,Home
2/23/2013,Coppin St,Howard,63,56,Howard,7,Win,Away
2/23/2013,St Bonaventure,Duquesne,78,71,Duquesne,7,Win,Away
2/23/2013,Kentucky,Missouri,90,83,Kentucky,7,Win,Home
2/23/2013,St Peter's,Hampton,66,59,Hampton,7,Win,Away
2/23/2013,Kent,Loyola-Chicago,70,63,Loyola-Chicago,7,Win,Away
2/23/2013,WI Milwaukee,IUPUI,95,88,IUPUI,7,Win,Away
2/23/2013,Rider,Charleston So,61,54,Rider,7,Win,Home
2/23/2013,UC Irvine,UT Arlington,77,70,UT Arlington,7,Win,Away
2/23/2013,Morgan St,High Point,75,68,High Point,7,Win,Away
2/23/2013,San Francisco,Pepperdine,64,58,San Francisco,6,Win,Home
2/23/2013,Harvard,Yale,72,66,Yale,6,Win,Away
2/23/2013,CS Fullerton,TAM C. Christi,63,57,TAM C. Christi,6,Win,Away
2/23/2013,Davidson,Montana,93,87,Davidson,6,Win,Home
2/23/2013,S Illinois,Miami OH,74,68,S Illinois,6,Win,Home
2/23/2013,Idaho,Idaho St,75,69,Idaho St,6,Win,Away
2/23/2013,Liberty,Austin Peay,79,73,Liberty,6,Win,Home
2/23/2013,Savannah St,Campbell,69,63,Campbell,6,Win,Away
2/23/2013,Cleveland St,W Illinois,60,54,W Illinois,6,Win,Away
2/23/2013,Tennessee Tech,Missouri KC,68,62,Tennessee Tech,6,Win,Home
2/23/2013,Denver,Northern Iowa,63,57,Northern Iowa,6,Win,Away
2/23/2013,W Michigan,Pacific,67,62,W Michigan,5,Win,Home
2/23/2013,E Washington,Sam Houston St,81,76,E Washington,5,Win,Home
2/23/2013,UAB,Marshall,52,48,Marshall,4,Win,Away
2/23/2013,VA Commonwealth,Xavier,75,71,Xavier,4,Win,Away
2/23/2013,NC Central,NC A&T,51,47,NC Central,4,Win,Home
2/23/2013,Georgia St,James Madison,66,62,James Madison,4,Win,Away
2/23/2013,Norfolk St,Delaware St,60,56,Delaware St,4,Win,Away
2/23/2013,Villanova,Marquette,60,56,Villanova,4,Win,Home
2/23/2013,Chattanooga,Elon,72,68,Chattanooga,4,Win,Home
2/23/2013,Samford,UNC Greensboro,75,71,Samford,4,Win,Home
2/23/2013,TX Pan American,Chicago St,55,51,Chicago St,4,Win,Away
2/23/2013,Providence,Rutgers,76,72,Rutgers,4,Win,Away
2/23/2013,New Mexico St,UTEP,55,51,New Mexico St,4,Win,Home
2/23/2013,Nebraska,Iowa,64,60,Nebraska,4,Win,Home
2/23/2013,Weber St,Oral Roberts,70,66,Oral Roberts,4,Win,Away
2/23/2013,LSU,Alabama,97,94,LSU,3,Win,Home
2/23/2013,East Carolina,SMU,72,69,SMU,3,Win,Away
2/23/2013,ETSU,Jacksonville,61,58,Jacksonville,3,Win,Away
2/23/2013,Missouri St,E Michigan,57,54,E Michigan,3,Win,Away
2/23/2013,Gardner Webb,Col Charleston,55,52,Col Charleston,3,Win,Away
2/23/2013,Oakland,Morehead St,82,79,Oakland,3,Win,Home
2/23/2013,Ball St,SE Missouri St,85,82,SE Missouri St,3,Win,Away
2/23/2013,Presbyterian,Citadel,68,65,Presbyterian,3,Win,Home
2/23/2013,Cal Poly SLO,Loy Marymount,63,60,Cal Poly SLO,3,Win,Home
2/23/2013,Wagner,Long Island,94,92,Wagner,2,Win,Home
2/23/2013,George Mason,William & Mary,60,58,George Mason,2,Win,Home
2/23/2013,St Francis PA,Monmouth NJ,70,68,St Francis PA,2,Win,Home
2/23/2013,TX Southern,Alabama A&M,64,62,Alabama A&M,2,Win,Away
2/23/2013,Jacksonville St,UNC Asheville,71,69,UNC Asheville,2,Win,Away
2/23/2013,Cent Arkansas,Edwardsville,80,78,Cent Arkansas,2,Win,Home
2/23/2013,Loyola MD,Tennessee St,69,67,Tennessee St,2,Win,Away
2/23/2013,Towson,Drexel,72,71,Towson,1,Win,Home
2/23/2013,California,Oregon St,60,59,Oregon St,1,Win,Away
2/23/2013,Delaware,UNC Wilmington,79,78,UNC Wilmington,1,Win,Away
2/23/2013,Indiana St,Iona,65,64,Indiana St,1,Win,Home
2/23/2013,Manhattan,Buffalo,65,64,Buffalo,1,Win,Away
2/23/2013,Bradley,IL Chicago,63,62,IL Chicago,1,Win,Away
2/23/2013,UC Davis,N Colorado,79,78,UC Davis,1,Win,Home
2/23/2013,Southern Utah,CS Northridge,73,72,Southern Utah,1,Win,Home
2/23/2013,CS Sacramento,Santa Barbara,51,50,Santa Barbara,1,Win,Away
2/23/2013,Drexel,Towson,71,72,Towson,-1,Loss,Away
2/23/2013,Oregon St,California,59,60,Oregon St,-1,Loss,Home
2/23/2013,UNC Wilmington,Delaware,78,79,UNC Wilmington,-1,Loss,Home
2/23/2013,Iona,Indiana St,64,65,Indiana St,-1,Loss,Away
2/23/2013,Buffalo,Manhattan,64,65,Buffalo,-1,Loss,Home
2/23/2013,IL Chicago,Bradley,62,63,IL Chicago,-1,Loss,Home
2/23/2013,N Colorado,UC Davis,78,79,UC Davis,-1,Loss,Away
2/23/2013,CS Northridge,Southern Utah,72,73,Southern Utah,-1,Loss,Away
2/23/2013,Santa Barbara,CS Sacramento,50,51,Santa Barbara,-1,Loss,Home
2/23/2013,Long Island,Wagner,92,94,Wagner,-2,Loss,Away
2/23/2013,William & Mary,George Mason,58,60,George Mason,-2,Loss,Away
2/23/2013,Monmouth NJ,St Francis PA,68,70,St Francis PA,-2,Loss,Away
2/23/2013,Alabama A&M,TX Southern,62,64,Alabama A&M,-2,Loss,Home
2/23/2013,UNC Asheville,Jacksonville St,69,71,UNC Asheville,-2,Loss,Home
2/23/2013,Edwardsville,Cent Arkansas,78,80,Cent Arkansas,-2,Loss,Away
2/23/2013,Tennessee St,Loyola MD,67,69,Tennessee St,-2,Loss,Home
2/23/2013,Alabama,LSU,94,97,LSU,-3,Loss,Away
2/23/2013,SMU,East Carolina,69,72,SMU,-3,Loss,Home
2/23/2013,Jacksonville,ETSU,58,61,Jacksonville,-3,Loss,Home
2/23/2013,E Michigan,Missouri St,54,57,E Michigan,-3,Loss,Home
2/23/2013,Col Charleston,Gardner Webb,52,55,Col Charleston,-3,Loss,Home
2/23/2013,Morehead St,Oakland,79,82,Oakland,-3,Loss,Away
2/23/2013,SE Missouri St,Ball St,82,85,SE Missouri St,-3,Loss,Home
2/23/2013,Citadel,Presbyterian,65,68,Presbyterian,-3,Loss,Away
2/23/2013,Loy Marymount,Cal Poly SLO,60,63,Cal Poly SLO,-3,Loss,Away
2/23/2013,Marshall,UAB,48,52,Marshall,-4,Loss,Home
2/23/2013,Xavier,VA Commonwealth,71,75,Xavier,-4,Loss,Home
2/23/2013,NC A&T,NC Central,47,51,NC Central,-4,Loss,Away
2/23/2013,James Madison,Georgia St,62,66,James Madison,-4,Loss,Home
2/23/2013,Delaware St,Norfolk St,56,60,Delaware St,-4,Loss,Home
2/23/2013,Marquette,Villanova,56,60,Villanova,-4,Loss,Away
2/23/2013,Elon,Chattanooga,68,72,Chattanooga,-4,Loss,Away
2/23/2013,UNC Greensboro,Samford,71,75,Samford,-4,Loss,Away
2/23/2013,Chicago St,TX Pan American,51,55,Chicago St,-4,Loss,Home
2/23/2013,Rutgers,Providence,72,76,Rutgers,-4,Loss,Home
2/23/2013,UTEP,New Mexico St,51,55,New Mexico St,-4,Loss,Away
2/23/2013,Iowa,Nebraska,60,64,Nebraska,-4,Loss,Away
2/23/2013,Oral Roberts,Weber St,66,70,Oral Roberts,-4,Loss,Home
2/23/2013,Pacific,W Michigan,62,67,W Michigan,-5,Loss,Away
2/23/2013,Sam Houston St,E Washington,76,81,E Washington,-5,Loss,Away
2/23/2013,Pepperdine,San Francisco,58,64,San Francisco,-6,Loss,Away
2/23/2013,Yale,Harvard,66,72,Yale,-6,Loss,Home
2/23/2013,TAM C. Christi,CS Fullerton,57,63,TAM C. Christi,-6,Loss,Home
2/23/2013,Montana,Davidson,87,93,Davidson,-6,Loss,Away
2/23/2013,Miami OH,S Illinois,68,74,S Illinois,-6,Loss,Away
2/23/2013,Idaho St,Idaho,69,75,Idaho St,-6,Loss,Home
2/23/2013,Austin Peay,Liberty,73,79,Liberty,-6,Loss,Away
2/23/2013,Campbell,Savannah St,63,69,Campbell,-6,Loss,Home
2/23/2013,W Illinois,Cleveland St,54,60,W Illinois,-6,Loss,Home
2/23/2013,Missouri KC,Tennessee Tech,62,68,Tennessee Tech,-6,Loss,Away
2/23/2013,Northern Iowa,Denver,57,63,Northern Iowa,-6,Loss,Home
2/23/2013,Howard,Coppin St,56,63,Howard,-7,Loss,Home
2/23/2013,Duquesne,St Bonaventure,71,78,Duquesne,-7,Loss,Home
2/23/2013,Missouri,Kentucky,83,90,Kentucky,-7,Loss,Away
2/23/2013,Hampton,St Peter's,59,66,Hampton,-7,Loss,Home
2/23/2013,Loyola-Chicago,Kent,63,70,Loyola-Chicago,-7,Loss,Home
2/23/2013,IUPUI,WI Milwaukee,88,95,IUPUI,-7,Loss,Home
2/23/2013,Charleston So,Rider,54,61,Rider,-7,Loss,Away
2/23/2013,UT Arlington,UC Irvine,70,77,UT Arlington,-7,Loss,Home
2/23/2013,High Point,Morgan St,68,75,High Point,-7,Loss,Home
2/23/2013,Tulsa,UCF,75,83,UCF,-8,Loss,Away
2/23/2013,South Carolina,Georgia,54,62,Georgia,-8,Loss,Away
2/23/2013,Lehigh,Lafayette,71,79,Lafayette,-8,Loss,Away
2/23/2013,St Francis NY,Mt St Mary's,65,73,Mt St Mary's,-8,Loss,Away
2/23/2013,Sacred Heart,Central Conn,72,80,Sacred Heart,-8,Loss,Home
2/23/2013,Texas A&M,Tennessee,85,93,Texas A&M,-8,Loss,Home
2/23/2013,Troy,Arkansas St,50,58,Arkansas St,-8,Loss,Away
2/23/2013,Fairfield,Albany NY,50,58,Fairfield,-8,Loss,Home
2/23/2013,Canisius,Vermont,79,87,Vermont,-8,Loss,Away
2/23/2013,North Dakota,NE Omaha,75,83,NE Omaha,-8,Loss,Away
2/23/2013,UC Riverside,Portland St,58,66,Portland St,-8,Loss,Away
2/23/2013,Creighton,St Mary's CA,66,74,St Mary's CA,-8,Loss,Away
2/23/2013,MD Baltimore Co,Boston Univ,59,68,MD Baltimore Co,-9,Loss,Home
2/23/2013,Fresno St,Boise St,63,72,Fresno St,-9,Loss,Home
2/23/2013,Colorado St,New Mexico,82,91,Colorado St,-9,Loss,Home
2/23/2013,Alabama St,Prairie View,56,65,Alabama St,-9,Loss,Home
2/23/2013,Dartmouth,Brown,50,59,Brown,-9,Loss,Away
2/23/2013,Arizona St,Washington,59,68,Arizona St,-9,Loss,Home
2/23/2013,Illinois St,Utah St,71,80,Utah St,-9,Loss,Away
2/23/2013,Dayton,Massachusetts,66,76,Massachusetts,-10,Loss,Away
2/23/2013,Utah Valley,Houston Bap,63,73,Houston Bap,-10,Loss,Away
2/23/2013,S Carolina St,Bethune-Cookman,75,85,Bethune-Cookman,-10,Loss,Away
2/23/2013,Longwood,TN Martin,79,89,TN Martin,-10,Loss,Away
2/23/2013,Coastal Car,W Carolina,70,80,W Carolina,-10,Loss,Away
2/23/2013,Bryant,Quinnipiac,58,69,Quinnipiac,-11,Loss,Away
2/23/2013,Syracuse,Georgetown,46,57,Syracuse,-11,Loss,Home
2/23/2013,NC State,North Carolina,65,76,North Carolina,-11,Loss,Away
2/23/2013,Old Dominion,Hofstra,59,70,Hofstra,-11,Loss,Away
2/23/2013,Stanford,Oregon,66,77,Oregon,-11,Loss,Away
2/23/2013,ULL,W Kentucky,77,88,ULL,-11,Loss,Home
2/23/2013,C Michigan,Youngstown St,75,86,Youngstown St,-11,Loss,Away
2/23/2013,S Dakota St,Murray St,62,73,Murray St,-11,Loss,Away
2/23/2013,G Washington,St Joseph's PA,59,71,St Joseph's PA,-12,Loss,Away
2/23/2013,Portland,Santa Clara,63,75,Portland,-12,Loss,Home
2/23/2013,North Texas,South Alabama,57,69,South Alabama,-12,Loss,Away
2/23/2013,DePaul,Connecticut,69,81,DePaul,-12,Loss,Home
2/23/2013,Texas,Kansas St,69,81,Texas,-12,Loss,Home
2/23/2013,Wright St,Evansville,58,70,Wright St,-12,Loss,Home
2/23/2013,N Illinois,E Illinois,47,59,N Illinois,-12,Loss,Home
2/23/2013,Clemson,Maryland,59,72,Maryland,-13,Loss,Away
2/23/2013,Navy,Colgate,46,59,Colgate,-13,Loss,Away
2/23/2013,Alcorn St,Southern Univ,48,61,Southern Univ,-13,Loss,Away
2/23/2013,Nevada,San Diego St,75,88,San Diego St,-13,Loss,Away
2/23/2013,McNeese St,Toledo,66,79,Toledo,-13,Loss,Away
2/23/2013,Bowling Green,IPFW,75,88,IPFW,-13,Loss,Away
2/23/2013,Lamar,Texas St,61,74,Lamar,-13,Loss,Home
2/23/2013,American Univ,Army,58,72,American Univ,-14,Loss,Home
2/23/2013,Baylor,Oklahoma,76,90,Oklahoma,-14,Loss,Away
2/23/2013,Ark Little Rock,FL Atlantic,59,73,FL Atlantic,-14,Loss,Away
2/23/2013,SE Louisiana,Winthrop,52,66,Winthrop,-14,Loss,Away
2/23/2013,Miami FL,Wake Forest,65,80,Wake Forest,-15,Loss,Away
2/23/2013,Kennesaw,Lipscomb,55,70,Kennesaw,-15,Loss,Home
2/23/2013,Detroit,Wichita St,79,94,Wichita St,-15,Loss,Away
2/23/2013,Maine,Stony Brook,53,69,Maine,-16,Loss,Home
2/23/2013,Southern Miss,Memphis,73,89,Memphis,-16,Loss,Away
2/23/2013,West Virginia,Oklahoma St,57,73,West Virginia,-16,Loss,Home
2/23/2013,Grambling,Ark Pine Bluff,45,61,Ark Pine Bluff,-16,Loss,Away
2/23/2013,Northwestern LA,Niagara,76,92,Niagara,-16,Loss,Away
2/23/2013,Fordham,Richmond,55,72,Fordham,-17,Loss,Home
2/23/2013,Furman,Ga Southern,61,78,Ga Southern,-17,Loss,Away
2/23/2013,Washington St,Arizona,56,73,Arizona,-17,Loss,Away
2/23/2013,N Kentucky,Mercer,46,63,Mercer,-17,Loss,Away
2/23/2013,Arkansas,Florida,54,71,Florida,-17,Loss,Away
2/23/2013,Penn,Columbia,41,58,Columbia,-17,Loss,Away
2/23/2013,WI Green Bay,Drake,54,71,Drake,-17,Loss,Away
2/23/2013,Seton Hall,Louisville,61,79,Louisville,-18,Loss,Away
2/23/2013,Nicholls St,UT San Antonio,58,76,UT San Antonio,-18,Loss,Away
2/23/2013,MS Valley St,Jackson St,71,90,MS Valley St,-19,Loss,Home
2/23/2013,Cornell,Princeton,53,72,Cornell,-19,Loss,Home
2/23/2013,Ohio,Belmont,62,81,Belmont,-19,Loss,Away
2/23/2013,Texas Tech,Iowa St,66,86,Iowa St,-20,Loss,Away
2/23/2013,New Orleans,NJIT,64,84,NJIT,-20,Loss,Away
2/23/2013,E Kentucky,Valparaiso,60,82,Valparaiso,-22,Loss,Away
2/23/2013,Wyoming,UNLV,42,65,Wyoming,-23,Loss,Home
2/23/2013,SC Upstate,North Florida,53,77,North Florida,-24,Loss,Away
2/23/2013,Rice,Tulane,64,89,Rice,-25,Loss,Home
2/23/2013,TCU,Kansas,48,74,Kansas,-26,Loss,Away
2/23/2013,San Diego,Gonzaga,50,81,Gonzaga,-31,Loss,Away
2/23/2013,Auburn,Mississippi,55,88,Mississippi,-33,Loss,Away
2/23/2013,Northern Arizona,Hawaii,50,84,Hawaii,-34,Loss,Away
2/23/2013,VMI,Marist,74,112,Marist,-38,Loss,Away
2/23/2013,ULM,Middle Tenn St,46,87,Middle Tenn St,-41,Loss,Away
2/23/2013,Mississippi St,Vanderbilt,31,72,Mississippi St,-41,Loss,Home
2/23/2013,F Dickinson,Robert Morris,46,89,Robert Morris,-43,Loss,Away
2/24/2013,Purdue,Northwestern,74,43,Purdue,31,Win,Home
2/24/2013,Virginia,Georgia Tech,82,54,Virginia,28,Win,Home
2/24/2013,Duke,Boston College,89,68,Duke,21,Win,Home
2/24/2013,Notre Dame,Cincinnati,62,41,Notre Dame,21,Win,Home
2/24/2013,Temple,Charlotte,71,51,Charlotte,20,Win,Away
2/24/2013,Bucknell,Holy Cross,74,57,Bucknell,17,Win,Home
2/24/2013,Pittsburgh,St John's,63,47,St John's,16,Win,Away
2/24/2013,UCLA,USC,75,59,USC,16,Win,Away
2/24/2013,Michigan,Illinois,71,58,Michigan,13,Win,Home
2/24/2013,New Hampshire,Binghamton,68,56,New Hampshire,12,Win,Home
2/24/2013,South Dakota,Montana St,85,74,Montana St,11,Win,Away
2/24/2013,Virginia Tech,Florida St,80,70,Virginia Tech,10,Win,Home
2/24/2013,Ohio St,Michigan St,68,60,Ohio St,8,Win,Home
2/24/2013,Siena,Radford,65,57,Siena,8,Win,Home
2/24/2013,La Salle,Rhode Island,72,65,Rhode Island,7,Win,Away
2/24/2013,Rhode Island,La Salle,65,72,Rhode Island,-7,Loss,Home
2/24/2013,Michigan St,Ohio St,60,68,Ohio St,-8,Loss,Away
2/24/2013,Radford,Siena,57,65,Siena,-8,Loss,Away
2/24/2013,Florida St,Virginia Tech,70,80,Virginia Tech,-10,Loss,Away
2/24/2013,Montana St,South Dakota,74,85,Montana St,-11,Loss,Home
2/24/2013,Binghamton,New Hampshire,56,68,New Hampshire,-12,Loss,Away
2/24/2013,Illinois,Michigan,58,71,Michigan,-13,Loss,Away
2/24/2013,St John's,Pittsburgh,47,63,St John's,-16,Loss,Home
2/24/2013,USC,UCLA,59,75,USC,-16,Loss,Home
2/24/2013,Holy Cross,Bucknell,57,74,Bucknell,-17,Loss,Away
2/24/2013,Charlotte,Temple,51,71,Charlotte,-20,Loss,Home
2/24/2013,Boston College,Duke,68,89,Duke,-21,Loss,Away
2/24/2013,Cincinnati,Notre Dame,41,62,Notre Dame,-21,Loss,Away
2/24/2013,Georgia Tech,Virginia,54,82,Virginia,-28,Loss,Away
2/24/2013,Northwestern,Purdue,43,74,Purdue,-31,Loss,Away
2/25/2013,MS Valley St,Grambling,90,68,MS Valley St,22,Win,Home
2/25/2013,Kansas St,Texas Tech,75,55,Kansas St,20,Win,Home
2/25/2013,TX Southern,Alabama St,70,50,Alabama St,20,Win,Away
2/25/2013,Bryant,Sacred Heart,84,68,Bryant,16,Win,Home
2/25/2013,Bethune-Cookman,Savannah St,72,58,Bethune-Cookman,14,Win,Home
2/25/2013,Houston Bap,New Orleans,65,52,Houston Bap,13,Win,Home
2/25/2013,Kansas,Iowa St,108,96,Iowa St,12,Win,Away
